tax_year,geo,lower,rate,index
2026,NB,193861.0,0.195,1.0
2027,NB,0.0,0.094,0.0
2027,NB,53613.0,0.14,1.0
2027,NB,107226.0,0.16,1.0
2027,NB,198602.0,0.195,1.0
2028,NB,0.0,0.094,0.0
2028,NB,55030.0,0.14,1.0
2028,NB,110059.0,0.16,1.0
2028,NB,203850.0,0.195,1.0
2029,NB,0.0,0.094,0.0
2029,NB,56531.0,0.14,1.0
2029,NB,113062.0,0.16,1.0
2029,NB,209413.0,0.195,1.0
2030,NB,0.0,0.094,0.0
2030,NB,58095.0,0.14,1.0
2030,NB,116191.0,0.16,1.0
2030,NB,215207.0,0.195,1.0
2014,NL,0.0,0.077,1.0
2014,NL,34254.0,0.125,1.0
2014,NL,68508.0,0.133,1.0
2015,NL,0.0,0.077,1.0
2015,NL,35008.0,0.125,1.0
2015,NL,70015.0,0.133,1.0
2015,NL,125000.0,0.138,0.0
2015,NL,175000.0,0.143,0.0
2016,NL,0.0,0.082,1.0
2016,NL,35148.0,0.135,1.0
2016,NL,70295.0,0.1455,1.0
2016,NL,125500.0,0.158,1.0
2016,NL,175700.0,0.168,1.0
2017,NL,0.0,0.087,1.0
2017,NL,35851.0,0.145,1.0
2017,NL,71701.0,0.158,1.0
2017,NL,128010.0,0.173,1.0
2017,NL,179214.0,0.183,1.0
2018,NL,0.0,0.087,1.0
2018,NL,36926.0,0.145,1.0
2018,NL,73852.0,0.158,1.0
2018,NL,131850.0,0.173,1.0
2018,NL,184590.0,0.183,1.0
2019,NL,0.0,0.087,1.0
2019,NL,37591.0,0.145,1.0
2019,NL,75181.0,0.158,1.0
2019,NL,134224.0,0.173,1.0
2019,NL,187913.0,0.183,1.0
2020,NL,0.0,0.087,1.0
2020,NL,37929.0,0.145,1.0
2020,NL,75858.0,0.158,1.0
2020,NL,135432.0,0.173,1.0
2020,NL,189604.0,0.183,1.0
2021,NL,0.0,0.087,1.0
2021,NL,38081.0,0.145,1.0
2021,NL,76161.0,0.158,1.0
2021,NL,135973.0,0.173,1.0
2021,NL,190363.0,0.183,1.0
2022,NL,0.0,0.087,1.0
2022,NL,39147.0,0.145,1.0
2022,NL,78294.0,0.158,1.0
2022,NL,139780.0,0.178,1.0
2022,NL,195693.0,0.198,1.0
2022,NL,250000.0,0.208,0.0
2022,NL,500000.0,0.213,0.0
2022,NL,1000000.0,0.218,0.0
2023,NL,0.0,0.087,1.0
2023,NL,41457.0,0.145,1.0
2023,NL,82913.0,0.158,1.0
2023,NL,148027.0,0.178,1.0
2023,NL,207239.0,0.198,1.0
2023,NL,264750.0,0.208,1.0
2023,NL,529500.0,0.213,1.0
2023,NL,1059000.0,0.218,1.0
2024,NL,0.0,0.087,1.0
2024,NL,43198.0,0.145,1.0
2024,NL,86395.0,0.158,1.0
2024,NL,154244.0,0.178,1.0
2024,NL,215943.0,0.198,1.0
2024,NL,275870.0,0.208,1.0
2024,NL,551739.0,0.213,1.0
2024,NL,1103478.0,0.218,1.0
2025,NL,0.0,0.087,1.0
2025,NL,44192.0,0.145,1.0
2025,NL,88382.0,0.158,1.0
2025,NL,157792.0,0.178,1.0
2025,NL,220910.0,0.198,1.0
2025,NL,282214.0,0.208,1.0
2025,NL,564429.0,0.213,1.0
2025,NL,1128858.0,0.218,1.0
2026,NL,0.0,0.087,1.0
2026,NL,44678.0,0.145,1.0
2026,NL,89354.0,0.158,1.0
2026,NL,159528.0,0.178,1.0
2026,NL,223340.0,0.198,1.0
2026,NL,285319.0,0.208,1.0
2026,NL,570638.0,0.213,1.0
2026,NL,1141275.0,0.218,1.0
2027,NL,0.0,0.087,0.0
2027,NL,45771.0,0.145,1.0
2027,NL,91539.0,0.158,1.0
2027,NL,163430.0,0.178,1.0
2027,NL,228802.0,0.198,1.0
2027,NL,292297.0,0.208,1.0
2027,NL,584594.0,0.213,1.0
2027,NL,1169188.0,0.218,1.0
2028,NL,0.0,0.087,0.0
2028,NL,46980.0,0.145,1.0
2028,NL,93958.0,0.158,1.0
2028,NL,167748.0,0.178,1.0
2028,NL,234848.0,0.198,1.0
2028,NL,300020.0,0.208,1.0
2028,NL,600041.0,0.213,1.0
2028,NL,1200080.0,0.218,1.0
2029,NL,0.0,0.087,0.0
2029,NL,48262.0,0.145,1.0
2029,NL,96522.0,0.158,1.0
2029,NL,172325.0,0.178,1.0
2029,NL,241256.0,0.198,1.0
2029,NL,308207.0,0.208,1.0
2029,NL,616415.0,0.213,1.0
2029,NL,1232828.0,0.218,1.0
2030,NL,0.0,0.087,0.0
2030,NL,49597.0,0.145,1.0
2030,NL,99193.0,0.158,1.0
2030,NL,177094.0,0.178,1.0
2030,NL,247932.0,0.198,1.0
2030,NL,316735.0,0.208,1.0
2030,NL,633471.0,0.213,1.0
2030,NL,1266940.0,0.218,1.0
2014,NS,0.0,0.0879,0.0
2014,NS,29590.0,0.1495,0.0
2014,NS,59180.0,0.1667,0.0
2014,NS,93000.0,0.175,0.0
2014,NS,150000.0,0.21,0.0
2015,NS,0.0,0.0879,0.0
2015,NS,29590.0,0.1495,0.0
2015,NS,59180.0,0.1667,0.0
2015,NS,93000.0,0.175,0.0
2015,NS,150000.0,0.21,0.0
2016,NS,0.0,0.0879,0.0
2016,NS,29590.0,0.1495,0.0
2016,NS,59180.0,0.1667,0.0
2016,NS,93000.0,0.175,0.0
2016,NS,150000.0,0.21,0.0
2017,NS,0.0,0.0879,0.0
2017,NS,29590.0,0.1495,0.0
2017,NS,59180.0,0.1667,0.0
2017,NS,93000.0,0.175,0.0
2017,NS,150000.0,0.21,0.0
2018,NS,0.0,0.0879,0.0
2018,NS,29590.0,0.1495,0.0
2018,NS,59180.0,0.1667,0.0
2018,NS,93000.0,0.175,0.0
2018,NS,150000.0,0.21,0.0
2019,NS,0.0,0.0879,0.0
2019,NS,29590.0,0.1495,0.0
2019,NS,59180.0,0.1667,0.0
2019,NS,93000.0,0.175,0.0
2019,NS,150000.0,0.21,0.0
